gene_ID	X0h	X8h	X16h	X24h	X32h	X40h	X48h
PVP01_0836800	67.72958637	25.7493727	18.01977563	18.08732022	96.01549858	226.290106	107.3393147
PVP01_0836600	16.25510073	11.86207057	15.87756454	92.70730365	46.75615061	23.78395146	36.36780827
PVP01_0836400	37.14203124	34.33249694	26.08457032	80.33588982	62.31173418	60.29182756	39.89602848
PVP01_0836200	9.263659556	10.6083558	12.85326654	7.986608929	10.37038905	11.9409139	15.87699092
PVP01_0835900	13.89548933	14.75525852	14.99547763	17.06941908	20.56197828	24.5669622	23.61193522
PVP01_0834800	108.0177661	42.72274198	25.58052066	23.64662644	74.38072143	99.05085957	68.39319167
PVP01_0834600	152.4134176	62.87861799	49.52287989	86.20839639	183.8062058	193.8930364	90.10531601
PVP01_0832900	9.788017644	12.05494977	14.11339071	9.004510068	8.939990557	13.89844077	16.0126917
PVP01_0832800	80.4015735	36.64704729	36.2915761	65.69377345	201.5967871	123.0305637	76.39953752
PVP01_0832700	36.26810109	23.14550355	23.18628473	27.32673055	46.75615061	55.98526845	30.2612733
PVP01_0832300	9.35105257	10.2225974	12.97927895	10.10071129	10.45978895	12.6260483	16.14839248
PVP01_0831900	90.18959115	86.60275913	19.90996189	14.25061593	12.60538668	295.4886809	370.19172
PVP01_0831700	38.80249852	91.90693703	97.65962319	339.5091796	211.4307767	56.67040285	122.2664002
PVP01_0831500	66.76826321	53.52397697	16.38161421	11.58841296	15.73438338	139.6695421	85.22008804
PVP01_0831400	16.6920658	23.82058074	12.6012417	46.74515226	152.3374391	210.8256438	208.7077952
PVP01_0830600	599.8656527	597.2504313	736.6685899	957.1402701	430.2817455	151.5125797	186.1814662
PVP01_0830400	109.4160544	119.0064641	120.7198955	88.79229927	53.37174362	48.54666635	54.28031085
PVP01_0830300	15.81813566	11.47631218	13.98737829	14.32891602	23.33337535	22.80518802	23.06913211
PVP01_0829200	8.826694482	10.2225974	12.72725412	8.61300963	8.939990557	11.74516121	26.05454921
PVP01_0828600	29.801018	24.20633913	20.41401156	84.2508942	81.97971341	56.7682792	62.55805826
PVP01_0828400	32.24802242	15.6232149	16.50762663	37.81894228	94.85329981	93.37403165	57.67283028
PVP01_0828200	12.06023603	12.05494977	12.6012417	26.23052933	75.18532058	31.22255356	56.45152328
PVP01_0828100	37.57899631	25.65293311	20.16198672	23.8815267	49.25934797	84.46728439	46.00256345
PVP01_0828000	18.17774705	22.18110757	22.9342599	12.68461418	21.54537724	33.76733849	28.4971632
PVP01_0826500	21.58607462	12.73002695	15.37351488	45.02255034	93.1547016	63.81537593	36.91061138
PVP01_0826300	11.53587794	10.99411419	13.3573162	9.865811031	12.60538668	16.05172033	17.23399869
PVP01_0825400	56.28110145	46.38744671	57.20963733	27.71823099	18.95277998	21.23916653	37.31771371
PVP01_0825200	65.02040292	43.49425876	21.04407364	14.32891602	28.8761695	67.04529526	51.56629531
PVP01_0825100	28.22794374	21.60246998	16.50762663	44.78765008	73.03972285	47.56790291	57.40142872
PVP01_0824300	184.748833	261.833509	144.9142796	55.43646198	40.94515675	22.80518802	58.89413727
PVP01_0824200	70.78834189	44.16933595	17.0116763	13.46761506	12.51598678	43.16346746	130.1370453
PVP01_0824100	80.92593159	80.62350405	18.90186255	16.91281891	27.44577101	130.2734131	342.5087615
PVP01_0824000	46.49308381	41.85478559	22.1781854	36.56614088	52.47774457	80.84585969	85.62719037
PVP01_0823400	257.2850352	157.1001054	397.065126	310.0683467	379.0555996	533.5239481	244.125698
PVP01_0823300	825.6892027	911.8364004	1539.241674	828.0234258	478.7364943	233.8265845	99.87577196
PVP01_0823000	11.01151985	11.86207057	15.12149004	10.10071129	10.45978895	14.58357517	19.94801424
PVP01_0820700	65.45736799	52.46314139	70.18891628	82.84149262	35.67056232	19.77102138	28.09006087
PVP01_0820500	105.6581547	146.2988704	92.24108926	86.59989682	18.41638055	33.76733849	57.94423183
PVP01_0820400	26.91704852	21.12027199	15.12149004	12.44971392	14.92978423	29.65653206	28.63286397
PVP01_0819700	138.3431422	99.33278609	150.4588259	114.0049275	117.1138763	145.5421227	159.5841139
PVP01_0819100	21.76086065	14.85169811	13.73535346	9.787510943	17.7011813	50.40631687	28.63286397
PVP01_0818600	44.74522351	32.21082578	66.28253135	101.2420132	128.5570642	112.7535476	74.90682897
PVP01_0817800	15.90552867	21.98822838	21.04407364	41.42074631	19.84677904	17.91137085	21.71212434
PVP01_0816600	23.33393492	31.3428694	30.87304217	40.246245	31.73696648	25.05634392	24.96894299
PVP01_0302300	25.78093933	20.9273928	19.40591222	27.71823099	44.34235316	47.95940829	46.81676811
PVP01_0302700	28.66490881	23.53126195	23.6903344	75.48128439	83.05251227	98.36572516	34.06089506
PVP01_0304100	119.291465	89.39950748	18.5238253	16.05151795	15.82378329	272.2919875	142.485816
PVP01_0304600	70.2639838	39.54023524	21.54812331	21.53252407	37.10096081	118.8218809	73.41412043
PVP01_0305200	124.2728669	43.97645675	73.96928879	16.83451882	25.83657271	13.80056443	40.43883158
PVP01_0305900	25.95572536	18.70928204	18.27180047	40.40284517	46.48795089	44.24010724	38.81042226
PVP01_0306100	17.91556801	15.91253369	16.2556018	33.90393791	42.19675543	45.5124997	28.09006087
PVP01_0306500	117.7183908	141.7662093	116.3094609	249.3857788	150.2812413	89.16534888	107.746417
PVP01_0307000	28.75230183	27.00308748	15.12149004	11.51011287	15.91318319	51.77658568	40.98163469
PVP01_0308200	19.13907021	12.44070816	16.50762663	62.17026951	106.2070878	42.5762094	35.41790283
PVP01_0309000	35.39417094	15.91253369	28.8568435	47.60645323	48.99114825	80.45435431	109.9176295
PVP01_0309300	164.6484396	263.9551801	272.564858	162.4726817	24.22737441	244.788735	546.1956279
PVP01_0310200	34.86981286	59.69611125	61.11602226	22.08062469	21.45597734	19.379516	20.7622189
PVP01_0310400	56.80545954	42.91562117	40.32397345	92.70730365	83.67831161	94.54854777	69.47879789
PVP01_0310500	10.66194779	13.01934575	15.87756454	23.95982679	18.77398017	19.28163966	23.20483289
PVP01_0310700	13.7207033	28.73900025	32.13316634	39.77644447	20.29377856	18.40075257	26.46165154
PVP01_0520000	137.4692121	31.63218819	27.09266966	64.44097205	250.856135	385.1434115	176.1396087
PVP01_0520100	284.5516558	249.7785592	335.3190417	338.099778	563.5770047	399.7269866	341.558856
PVP01_0520400	79.70242938	69.14719187	90.60292784	120.8953352	156.8074344	141.8228217	70.29300255
PVP01_0520600	14.33245441	13.59798334	16.2556018	51.36485743	35.4023626	32.10344065	31.07547796
PVP01_0522100	18.35253308	12.34426856	30.74702975	50.73845673	57.8417389	22.51155899	28.22576164
