id	0%troph	20%troph	40%troph	60%troph	80%troph	100%troph
PVP01_1140000	269.3912749	352.0623374	540.5278604	333.2502944	458.4188657	556.6172403
PVP01_1139900	177.3251082	304.5710601	698.1134716	757.6761158	1010.501518	1108.706173
PVP01_1139800	568.0203959	444.9836106	230.1397629	633.5974993	671.0749562	633.5974993
PVP01_1139700	40.78815204	40.78815204	99.35080794	34.56688651	34.56688651	133.9176945
PVP01_1139600	2024.911611	2017.234796	1791.442087	2486.569941	1742.069725	1906.118982
PVP01_1139500	249.6060344	394.3902182	454.4847924	196.9267772	484.5779667	542.6621548
PVP01_1139400	173.6191744	34.72250756	198.4385506	128.37359	120.8893803	147.2410014
PVP01_1139300	1077.094977	713.6604027	747.6575342	386.8204789	342.1767471	236.3519913
PVP01_1139100	881.6851109	893.0795365	844.7473278	883.4693497	692.6108193	695.1220784
PVP01_1139000	0	0	293.1093421	226.9773667	251.9561034	410.2112145
PVP01_1138900	241.7227355	441.677709	1380.1292	1903.957903	2746.804476	3046.768515
PVP01_1138800	46.60156985	159.3520566	524.8959589	766.4229326	897.6452124	1178.56968
PVP01_1138600	0	0	54.38143112	0	0	54.38143112
PVP01_1138500	0	597.5137126	562.1616367	768.2049036	999.4679939	1110.571605
PVP01_1138400	199.0408241	1422.885971	1527.730074	2476.19241	3031.75554	3616.599493
PVP01_1138300	97.79174374	266.7787669	628.5198661	718.6717441	1013.091384	1169.667802
PVP01_1138200	1156.545564	847.4115759	1121.298043	517.5167912	1067.179854	719.8312309
PVP01_1138100	0	1822.573061	6226.654784	5852.086375	15027.89798	15520.76283
PVP01_1138000	0	888.2233808	1500.194726	3140.463942	4818.129867	4993.059394
PVP01_1137900	0	3380.021407	4379.504817	5466.224628	7296.001453	10575.73531
PVP01_1137800	68.90991142	201.2205927	846.0125829	855.8662535	1152.518362	1577.648249
PVP01_1137700	0	0	0	0	0	0
PVP01_1137600	3450.807883	2851.084214	2514.878808	1647.964804	1568.732172	1220.071731
PVP01_1137500	2316.165521	4191.103516	15918.49237	17721.47947	27916.99638	26668.93508
PVP01_1137200	115.5449028	986.3747813	811.8688897	2058.266821	1917.302539	2382.610238
PVP01_1137100	0	717.6688868	4966.681522	5780.676795	9829.202299	9098.585273
PVP01_1137000	354.7651841	149.343434	426.5685703	328.4005816	581.6585273	393.0522001
PVP01_1136800	3133.07524	2708.727334	2227.263823	364.8827984	817.5462492	137.6659971
PVP01_1136700	1057.530578	869.4712121	733.3227302	74.66121825	391.5166924	18.4333179
PVP01_1136600	23.31375079	18.36712744	4.946623353	16.34579848	16.34579848	16.34579848
PVP01_1136500	0	152.6007939	122.1651265	54.28041784	202.2982214	203.2988587
PVP01_1136400	44398.7354	27602.75848	25860.6678	7400.670356	5764.045199	938.0686015
PVP01_1136300	4763.361236	4120.958747	3065.795037	1488.001384	1265.777763	403.535398
PVP01_1136200	868.1632119	596.5004185	516.8693536	408.4537911	261.1262578	272.0304687
PVP01_1136100	933.4386341	992.8533001	2226.399511	1936.555542	3860.655566	5098.279649
PVP01_1136000	6545.825401	8448.077447	6625.405705	8332.536191	8068.304598	10310.27249
PVP01_1135900	60.29201046	1213.329689	3615.74638	1490.609562	4595.887292	5138.776733
PVP01_1135800	3680.561304	3100.464154	1837.509168	1542.547842	238.2389091	13.08072152
PVP01_1135700	637.8556672	1033.278626	2944.194762	3742.75754	4041.075341	5500.168905
PVP01_1135600	1221.867092	243.6226508	1251.244738	285.9538767	1017.043106	404.434809
PVP01_1135500	2675.735945	1031.525753	2260.358444	362.3240463	1180.674547	178.1937284
PVP01_1135400	50.35291199	455.314925	412.5760431	386.6623545	465.8361029	784.1626753
PVP01_1135300	2421.75593	2657.284095	2968.502758	2386.393386	3039.782592	2847.965727
PVP01_1135200	15791.24941	9920.087876	12565.02521	3421.592467	6742.481858	51.16041007
PVP01_1134800	37.93298709	3.74218198	309.1215152	164.4213403	423.40466	543.2936
PVP01_0203100	0	0	0	0	0	0
PVP01_0203200	0	16.82927284	45.92935409	77.47966045	165.5053403	166.7616564
PVP01_0203300	0	1227.900837	3211.551127	1594.485259	3447.296584	4134.825712
PVP01_0203400	6.361088451	399.2617623	557.7896876	1207.653837	1237.95582	1590.670397
PVP01_0203600	84.65079168	117.7760375	2.154005687	147.8676803	171.5653647	171.5653647
